,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name,User
49,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1633790686134,1633792051312,Pan Sushi,User2
50,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633792186384,1633803565638,Bieniewicka 4,User2
51,ChIJhyJQNMPMHkcRpZEbaJUh5TY,210102160,522115880,1633805539648,1633819716200,Klub Stodoła,User2
52,ChIJW46KycTMHkcR2uv-Kg-QFz8,210073712,522094192,1633819959147,1633820329950,Pole Mokotowskie,User2
53,ChIJLwDPGn7LHkcR4sSThMW8Ags,209789392,522387394,1633822756267,1633865885902,Okopowa 14,User2
54,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633866892200,1633935084000,Bieniewicka 4,User2
55,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1633936877000,1633943253368,XIV Liceum Ogólnokształcące im. Stanisława Staszica,User2
56,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633944928898,1633946938186,Arkadia,User2
57,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633948665115,1633963514928,Bieniewicka 4,User2
58,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633965462517,1633974005903,Warsaw University of Technology,User2
59,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633975903934,1633977726332,Arkadia,User2
60,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633978898480,1634035006395,Bieniewicka 4,User2
61,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634036754314,1634040459749,Warsaw University of Technology,User2
62,ChIJn0UO1e7MHkcRVgYGLreLRWU,210132420,522206800,1634040821763,1634041313795,Żabka,User2
63,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634041825887,1634061805813,Warsaw University of Technology,User2
64,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634063418396,1634124057864,Bieniewicka 4,User2
65,ChIJL9KHDp_NHkcRiTYjXq5FsT0,210144058,522223082,1634125533197,1634131507355,Uki Green,User2
66,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634131878976,1634144499917,Warsaw University of Technology,User2
67,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634146818973,1634276756000,Bieniewicka 4,User2
68,ChIJx9kmv8_MHkcRlMNuvRUX1hI,210022368,522043318,1634278707349,1634284800319,Faculty of Automotive and Construction Machinery Warsaw University of Technology,User2
69,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634285837827,1634299462738,Warsaw University of Technology,User2
70,ChIJ7yDzmz7NHkcRH0i-NRk-9A4,210150394,522185784,1634300199258,1634302665795,Polny Bar Mleczny,User2
71,ChIJcReVyfLMHkcRl-bf8HPtxas,210073856,522286824,1634303888280,1634304250058,Bookland,User2
72,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634305103141,1634312960000,Żytnia 31/33,User2
73,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634314304638,1634320341556,Warsaw University of Technology,User2
74,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634322156853,1634330733732,Bieniewicka 4,User2
75,ChIJf-wA-WLMHkcRJ-0wTWO0DYM,210029820,522410538,1634332065167,1634338678282,Capitol Warsaw Club,User2
76,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634340003953,1634471059795,Bieniewicka 4,User2
77,ChIJjXFvw-jLHkcRbWt_dRnJefk,209802426,522746719,1634471272504,1634472662297,Kumpir & Kebab Warszawa Żoliborz Bielany,User2
78,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634472793494,1634540072935,Bieniewicka 4,User2
79,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1634541955420,1634548102213,XIV Liceum Ogólnokształcące im. Stanisława Staszica,User2
80,ChIJlcMkBQPNHkcRDcbxmm7alPo,209981910,522389739,1634549068350,1634551228010,Jaja Łowickie ®,User2
81,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634552496067,1634564819902,Bieniewicka 4,User2
82,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634566795026,1634579934305,Warsaw University of Technology,User2
83,ChIJzy4Sbb3MHkcR1QFpvdlRVRg,209841004,522189469,1634580434000,1634580925884,Narutowicz Square,User2
84,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634581599448,1634589393593,Żytnia 31/33,User2
85,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634590868308,1634650173090,Bieniewicka 4,User2
86,ChIJgxwpY1_MHkcRFKqXgftRhPY,210183353,522364197,1634652133786,1634655842000,La Cantina,User2
87,ChIJTxfCxPXMHkcRrHZyMFBpGqY,210185569,522343530,1634655842000,1634658355980,Croque Madame,User2
88,ChIJIQZkFPPMHkcRpQq8gdD-KIw,210108289,522304991,1634658961198,1634659459053,Centrum,User2
89,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634660313425,1634662698277,Bieniewicka 4,User2
90,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634663957744,1634676195356,Żytnia 31/33,User2
91,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634677284660,1634737228948,Bieniewicka 4,User2
92,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634739133105,1634749873000,Warsaw University of Technology,User2
