,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance
45,209783409,522735922,209808581,522746307,1633790493578,1633790686134,WALKING,206
46,209795394,522746363,209787477,522736543,1633792051312,1633792186384,WALKING,121
47,209783801,522735792,210081709,522099051,1633803565638,1633805066390,IN_SUBWAY,7659
48,210081709,522099051,210095972,522107390,1633805066390,1633805539648,WALKING,802
49,210096206,522108361,210081303,522099090,1633819716200,1633819959147,WALKING,309
50,210076512,522094087,209823933,522296692,1633820329950,1633821828600,IN_SUBWAY,5267
51,209823933,522296692,209782819,522383766,1633821828600,1633822756267,IN_TRAM,2414
52,209777979,522392210,209741546,522725408,1633865885902,1633866649685,IN_TRAM,3774
53,209741546,522725408,209783095,522734264,1633866649685,1633866892200,WALKING,306
54,209778027,522737263,210032479,522201499,1633935084000,1633936877000,IN_TRAM,6873
55,210030181,522201764,209852833,522572147,1633943253368,1633944928898,IN_TRAM,12709
56,209863402,522569193,209771623,522732635,1633946938186,1633948665115,WALKING,2963
57,209783579,522735972,209739656,522710782,1633963514928,1633964002151,WALKING,492
58,209739656,522710782,210059809,522217995,1633964002151,1633965462517,IN_TRAM,6009
59,210078102,522216856,210147722,522178505,1633974005903,1633974610720,WALKING,727
60,210147722,522178505,209940863,522581358,1633974610720,1633975286173,IN_SUBWAY,4696
61,209940863,522581358,209863362,522573780,1633975286173,1633975903934,WALKING,752
62,209856718,522567890,209773515,522734230,1633977726332,1633978898480,IN_TRAM,2666
63,209774601,522734681,210059150,522219475,1634035006395,1634036754314,IN_TRAM,6375
64,210078208,522216560,210113049,522205840,1634040459749,1634040821763,WALKING,306
65,210108357,522209038,210070149,522220803,1634041313795,1634041825887,WALKING,310
66,210117342,522202959,209777443,522734553,1634061805813,1634063418396,IN_SUBWAY,7244
67,209783155,522736167,209815129,522745638,1634124057864,1634124312000,WALKING,396
68,209815129,522745638,210147781,522247022,1634124312000,1634125441000,IN_BUS,6296
69,210147781,522247022,210148131,522228733,1634125441000,1634125533197,WALKING,245
70,210142128,522228069,210077888,522228383,1634131507355,1634131878976,WALKING,441
71,210068835,522219562,210145120,522177960,1634144499917,1634145470116,WALKING,732
72,210145120,522177960,209729802,522720391,1634145470116,1634146332507,IN_SUBWAY,6719
73,209729802,522720391,209775740,522731664,1634146332507,1634146818973,WALKING,354
74,209773174,522735116,210032420,522041547,1634276756000,1634278707349,WALKING,7911
75,210038446,522045484,210067541,522215734,1634284800319,1634285837827,IN_TRAM,2134
76,210069128,522218974,210137406,522184453,1634299462738,1634300199258,WALKING,713
77,210144286,522184044,210080032,522287882,1634302665795,1634303888280,WALKING,2033
78,210074063,522286545,209781644,522383426,1634304250058,1634305103141,IN_PASSENGER_VEHICLE,3001
79,209802270,522383662,209804857,522361430,1634312960000,1634313361000,WALKING,347
80,209804857,522361430,210075750,522228601,1634313361000,1634314304638,IN_TRAM,3102
81,210067556,522229579,209772597,522728015,1634320341556,1634322156853,IN_SUBWAY,7839
82,209780719,522735166,210025082,522420213,1634330733732,1634332065167,IN_SUBWAY,4385
83,210030041,522411576,209781035,522737722,1634338678282,1634340003953,IN_SUBWAY,4378
84,209782939,522734395,209798529,522744463,1634471059795,1634471272504,WALKING,154
85,209795969,522745019,209785861,522736388,1634472662297,1634472793494,WALKING,118
86,209784193,522735967,210016525,522197182,1634540072935,1634541955420,IN_TRAM,6883
87,210026519,522203403,209973991,522387902,1634548102213,1634549068350,IN_TRAM,2472
88,209957349,522387658,209774818,522734192,1634551228010,1634552496067,IN_TRAM,4321
89,209783831,522735802,209746313,522718416,1634564819902,1634565326958,WALKING,421
90,209746313,522718416,210071479,522225289,1634565326958,1634566795026,IN_TRAM,6138
91,210113898,522202271,209847588,522195003,1634579934305,1634580434000,IN_TRAM,2045
